                                                             СТАТИКА Unnamed: 1  Unnamed: 2                                                          СТАТО-ДИНАМІКА Unnamed: 4  Unnamed: 5                                                   ДИНАМІКА Unnamed: 7  Unnamed: 8                                              ДИНАМІКА.1 Unnamed: 10
0                                                     Назва елементу        бал         NaN                                                          Назва елементу        бал         NaN                                             Назва елементу        бал         NaN                                          Назва елементу         бал
39                                                          Х прапор          6         NaN                                            Віджимання в стійці на руках          5         NaN                                       Х виліт ноги нарізно          3         NaN                                                 Дельчев          15
40                                                     Широка стійка          6         NaN                                                       Перекат в прапорі          5         NaN                                                 Пів місяць          3         NaN                                           Muscle up 540          15
41                                         Передній вис ноги нарізно          6         NaN                               Опускання з упора під турніком в ластівку          5         NaN                                               Халявний 360          3         NaN                                          Чешські оберти          15
42                                               Прапор ноги нарізно          6         NaN                                                      Вихід з-під кілець          5         NaN                    Заліт на 180 в упор ззаду на маху назад          3         NaN                                         Х виліт на 360           15
43                                                   Задній скайлайн          6         NaN                                                       Група елементів B        NaN         NaN                 Іголочка на 180 (халявна / не амплітудна)           3         NaN                       720 звичайний хват / з різнохвата          16
44                                           Драгонфлаг ноги нарізно          6         NaN                                                       Спічаг ноги разом          6         NaN                                            Гінгер з п'ятки          4         NaN                                     Петля корбут на 180          16
45                                          Дед планш на предпліччах          7         NaN                                     Віджимання в горизонті ноги нарізно          6         NaN                        Вихід з під перекладини (технічний)          4         NaN                          Елементи надвисокої складності         NaN
46             Кільце (доторкнутися голови ногами в стійці на руках)          7         NaN                                  Віджимання в стійці на руках з хлопком          6         NaN                        Калібрі (лачгейнер з халявного 360)          4         NaN                                                Кінг 540          17
47                                 Кут зверху на перекладині високий          7         NaN                                                                Мартілос          6         NaN                                      Гробік на 180 в упор           4         NaN                                       Бек ту бек вінтом          17
48                              Стійка прапор на брусах ноги нарізно          7         NaN  Опускання зі стійки в горизонт схрестним (вузьким) хватом ноги нарізно          6         NaN                                  Халявна 540 на махі назад          4         NaN                                          Сонечко на 360          17
49                                   Ластівка (широка постанова рук)          7         NaN                                                 Арчер в стійці на руках          6         NaN                                Халявна 540 на махі вперед           4         NaN                                                     900          18
50                                               Мексика ноги широко          7         NaN                                                          Вижим з хреста          6         NaN                               Чешський в зацеп за головою           4         NaN                                720 із зворотнього хвата          18
51                                             Стійка на перекладині          7         NaN                                                Перекат в силовому упорі          6         NaN                                     Передній зіскок на 180          4         NaN                                            Петля Корбут          18
52                                       Кут вертикальний на кільцях          8         NaN                                                  Підтягування на одній           6         NaN                                            Гейнер в зацеп           4         NaN                               Бек ту бек на 180 в зачіп          18
53                         Ластівка на 1 (Задній вис на одній руці)           8         NaN                                              Спічаг ноги нарізно з кута          7         NaN                                                180 в упор           4         NaN                                       Королівский виліт          19
